Type,Stock,Distribution
Technology Sector Equity,Adyen NV,3.73
Technology Sector Equity,Adyen NV,3.73
Technology Sector Equity,Digital Turbine Inc,10.66
Technology Sector Equity,Square Inc A,7.92
Technology Sector Equity,Twilio Inc A,7.15
Technology Sector Equity,Zillow Group Inc C,6.36
Technology Sector Equity,OptimizeRx Corp,6.08
Technology Sector Equity,MongoDB Inc Class A,4.98
Technology Sector Equity,Twitter Inc,4.74
Technology Sector Equity,First American Government Obligs X,4.14
Technology Sector Equity,Alphabet Inc Class C,3.79
Technology Sector Equity,JOYY Inc ADR,3.57
Technology Sector Equity,Microsoft Corp,17.83
Technology Sector Equity,Apple Inc,9.38
Technology Sector Equity,Alibaba Group Holding Ltd ADR,4.75
