StockInvestedin|Sector|SectorTotal|Value(Mn)|%ofTotalHoldings|1MChange|1YHighestHolding|1YLowestHolding|Quantity|1MChangeinQty|M-Cap|GroupName|funaname|date
KotakMahindraBankLtd.|Banks|18.06|176.3|2.49|-0.20%|3.28%(Sep2019)|2.49%(May2020)|1.44L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|3.7|162.1|2.29|0.16%|2.29%(May2020)|0.74%(Jul2019)|28.90k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
AxisBankLtd.|Banks|18.06|160.9|2.27|-0.29%|3.91%(Jun2019)|2.27%(May2020)|4.18L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
CadilaHealthcareLtd.|Pharmaceuticals|5.05|148.3|2.09|0.17%|2.09%(May2020)|0%(Jun2019)|4.30L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HDFCStandardLifeInsuranceCompanyLtd.|Insurance|3.77|126.1|1.78|0.12%|1.78%(May2020)|0%(Jun2019)|2.41L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
SupremeIndustriesLtd.|Plasticproducts|1.78|125.9|1.78|-0.08%|1.91%(Jan2020)|0%(Jun2019)|1.23L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
MaxFinancialServicesLtd.|Nbfc|2.33|125|1.76|0.08%|1.76%(May2020)|0%(Jun2019)|2.60L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|3.24|116.9|1.65|-0.04%|1.69%(Apr2020)|0%(Jun2019)|5.92L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|3.24|112.8|1.59|-0.08%|1.71%(Mar2020)|0.5%(Jun2019)|4.69L|0.00|Other|7.69|kotak-india-eq-contra-fund-regular-plan|29-06-2020
BritanniaIndustriesLtd.|Consumerfood|2.15|102.3|1.44|1.14%|1.44%(May2020)|0.24%(Dec2019)|30.28k|23.30k|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
Mahindra&MahindraLtd.|Passenger/utilityvehicles|3.7|100|1.41|0.25%|1.77%(Jun2019)|1.03%(Mar2020)|2.29L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|3.77|97.6|1.38|0.05%|1.38%(May2020)|0.9%(Jun2019)|75.00k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|1.33|94.1|1.33|-0.08%|2.02%(Jun2019)|1.33%(May2020)|1.06L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
PageIndustriesLtd.|Fabricsandgarments|1.3|92.4|1.30|0.07%|1.44%(Oct2019)|0%(Jun2019)|4.90k|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HindustanPetroleumCorporationLtd.|Refineries/marketing|11.15|89.1|1.26|-0.13%|2.3%(Oct2019)|1.04%(Feb2020)|4.58L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HCLTechnologiesLimited|Computers-software|10.02|86.4|1.22|0.04%|1.4%(Mar2020)|0.69%(Sep2019)|1.57L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
PetronetLNGLtd.|Lpg/cng/png/lngsupplier|1.21|85.9|1.21|0.07%|1.21%(May2020)|0%(Jun2019)|3.40L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
SRFLtd.|Chemicals-speciality|1.21|85.7|1.21|-0.05%|1.26%(Apr2020)|0.79%(Sep2019)|24.57k|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
Colgate-Palmolive(India)Limited|Personalcare|1.2|84.7|1.20|-0.02%|1.61%(Oct2019)|0%(Jun2019)|60.90k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HeroMotocorpLtd.|Motorcycles/scooters|1.18|83.8|1.18|0.63%|1.18%(May2020)|0%(Jun2019)|35.50k|17.00k|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
CoromandelInternationalLtd.|Fertilisers-phosphatic|1.13|79.9|1.13|-0.15%|1.35%(Mar2020)|0%(Jun2019)|1.24L|-0.32L|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
ContainerCorporationOfIndiaLtd.|Logisticssolutionprovider|1.12|79.3|1.12|0.04%|1.42%(Oct2019)|0%(Jun2019)|2.11L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
NationalThermalPowerCorporationLtd.|Power|1.11|79|1.11|0.05%|1.36%(Dec2019)|0.99%(Feb2020)|8.07L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
AuSmallFinanceBankLtd.|Banks|18.06|76.2|1.08|-0.38%|2.61%(Feb2020)|0.93%(Jun2019)|1.95L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|11.15|74.7|1.05|-0.06%|1.14%(Oct2019)|0%(Jun2019)|2.18L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|0.97|68.9|0.97|-0.02%|1.68%(Oct2019)|0.94%(Jul2019)|9.95L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
VoltasLimited|Engineering,designing,construction|4.77|68.8|0.97|-0.03%|1.59%(Oct2019)|0.62%(Jun2019)|1.43L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
KalpataruPowerTransmissionLtd.|Transmissiontowers|0.85|60.1|0.85|-0.07%|1.53%(Nov2019)|0%(Jun2019)|2.93L|0.00|SmallCap|1.64|kotak-india-eq-contra-fund-regular-plan|29-06-2020
JindalSteel&PowerLtd.|Steel|0.84|59.2|0.84|0.20%|0.95%(Jan2020)|0%(Jun2019)|4.87L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
ITCLimited|Cigarettes|0.81|57.2|0.81|0.08%|2.15%(Jul2019)|0.73%(Apr2020)|2.90L|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
KajariaCeramicsLtd.|Sanitaryware|0.79|55.8|0.79|-0.05%|1.05%(Jan2020)|0%(Jun2019)|1.63L|0.00|SmallCap|1.64|kotak-india-eq-contra-fund-regular-plan|29-06-2020
JubilantFoodworksLtd.|Consumerfood|2.15|50.1|0.71|-0.14%|1.14%(Oct2019)|0.7%(Nov2019)|30.23k|-8.00k|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
AavasFinanciersLtd.|Housingfinance|1.11|43.9|0.62|-0.08%|0.96%(Dec2019)|0.62%(May2020)|42.82k|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
ExideIndustriesLtd.|Batteries–automobile|0.62|43.6|0.62|0.04%|1.13%(Jan2020)|0.44%(Dec2019)|2.68L|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
SBILifeInsuranceCoLtd.|Insurance|3.77|43|0.61|0.05%|1.02%(Aug2019)|0%(Jun2019)|56.00k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
StateBankOfIndia|Banks|18.06|40.3|0.57|-0.51%|3.5%(Jun2019)|0.57%(May2020)|2.50L|-1.60L|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
BajajFinanceLtd.|Nbfc|2.33|40.1|0.57|-0.58%|3.39%(Jun2019)|0.57%(May2020)|20.50k|-0.16L|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|1.11|34.8|0.49|-0.06%|4.37%(Aug2019)|0.49%(May2020)|21.00k|0.00|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
TheRamcoCementsLtd.|Cement|6.45|33.2|0.47|0.05%|0.49%(Feb2020)|0%(Jun2019)|55.00k|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
AlkemLaboratoriesLtd.|Hospital|0.45|31.7|0.45|-0.05%|0.52%(Mar2020)|0%(Jun2019)|14.00k|0.00|MidCap|20.35|kotak-india-eq-contra-fund-regular-plan|29-06-2020
Dr.ReddysLaboratoriesLtd.|Pharmaceuticals|5.05|25.2|0.36|0.17%|0.91%(Sep2019)|0%(Jun2019)|6.20k|2.70k|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
InterGlobeAviationLtd.|Airlines|0.33|23.7|0.33|-0.11%|1.57%(Sep2019)|0.33%(May2020)|24.50k|-7.50k|LargeCap|67.51|kotak-india-eq-contra-fund-regular-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|11.15|14.9|0.21|0.21%|0.21%(May2020)|0%(Jun2019)|27.84k|27.84k|Other|7.69|kotak-india-eq-contra-fund-regular-plan|29-06-2020
RelianceIndustriesLtd.|Refineries/marketing|10.59|1200.8|8.54|-0.14%|9.5%(Nov2019)|8.06%(Jul2019)|8.20L|-0.15L|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
HDFCBankLtd.|Banks|20.2|1061|7.55|0.04%|9.77%(Jun2019)|7.51%(Apr2020)|11.15L|57.00k|Other|9.8|kotak-bluechip-fund-regular-plan|29-06-2020
InfosysLtd.|Computers-software|12.13|891.2|6.34|-0.20%|6.66%(Aug2019)|5.36%(Nov2019)|12.90L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
ICICIBankLtd.|Banks|20.2|800.5|5.69|-0.81%|8.51%(Dec2019)|5.69%(May2020)|24.12L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
TataConsultancyServicesLtd.|Computers-software|12.13|643.2|4.57|0.13%|4.57%(May2020)|3.14%(Nov2019)|3.26L|15.35k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
BhartiAirtelLtd.|Telecom-services|3.93|552.6|3.93|0.52%|3.93%(May2020)|0%(Jun2019)|10.00L|64.60k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
HindustanUnileverLtd.|Diversified|3.89|546.9|3.89|1.92%|3.89%(May2020)|0%(Jun2019)|2.66L|1.39L|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|4.01|498.9|3.55|0.29%|4.24%(Oct2019)|3.26%(Apr2020)|5.35L|23.70k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
HousingDevelopmentFinanceCorporationLtd.|Housingfinance|3.36|472.8|3.36|-0.51%|4.97%(Aug2019)|3.36%(May2020)|2.85L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
AxisBankLtd.|Banks|20.2|427.1|3.04|-0.38%|5.39%(Jun2019)|3.04%(May2020)|11.10L|26.00k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
KotakMahindraBankLtd.|Banks|20.2|422.3|3.00|-0.32%|4.11%(Sep2019)|3%(May2020)|3.45L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
TitanCompanyLtd.|Gems,jewelleryandwatches|2.02|284.6|2.02|0.39%|2.02%(May2020)|0%(Jun2019)|3.20L|82.20k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
HeroMotocorpLtd.|Motorcycles/scooters|1.94|272.3|1.94|0.40%|1.94%(May2020)|0%(Jun2019)|1.15L|15.20k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
UltratechCementLtd.|Cement|4.63|269.8|1.92|0.34%|1.92%(May2020)|0.93%(Aug2019)|69.10k|5.90k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
BharatPetroleumCorporationLtd.|Refineries/marketing|10.59|259.4|1.84|-0.07%|2.26%(Oct2019)|1.75%(Jul2019)|7.57L|28.80k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
ICICILombardGeneralInsuranceCoLtd.|Insurance|3.37|242.7|1.73|0.10%|1.73%(May2020)|0.81%(Jun2019)|1.87L|8.20k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
ShreeCementLtd.|Cement|4.63|240.1|1.71|0.10%|1.71%(May2020)|1.09%(Dec2019)|11.51k|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
ITCLimited|Cigarettes|1.68|236.8|1.68|0.03%|3.01%(Jul2019)|1.65%(Apr2020)|12.00L|-0.75L|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
CadilaHealthcareLtd.|Pharmaceuticals|3.51|206.2|1.47|0.10%|1.47%(May2020)|1.06%(Sep2019)|5.98L|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
NestleIndiaLtd.|Consumerfood|2.25|175.4|1.25|-0.02%|1.38%(Mar2020)|0.65%(Jun2019)|10.00k|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
MarutiSuzukiIndiaLtd.|Passenger/utilityvehicles|1.23|173.4|1.23|0.06%|2.52%(Oct2019)|0.91%(Mar2020)|30.90k|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
PersistentSystemsLtd.|Computers-software|12.13|171|1.22|0.13%|1.22%(May2020)|0.45%(Jun2019)|3.25L|0.00|SmallCap|3.2|kotak-bluechip-fund-regular-plan|29-06-2020
AsianPaints(india)Ltd.|Paints|1.2|168.3|1.20|-0.05%|2.26%(Mar2020)|1.2%(May2020)|1.00L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
CoromandelInternationalLtd.|Fertilisers-phosphatic|1.19|167.2|1.19|-0.28%|1.62%(Mar2020)|0.54%(Jun2019)|2.60L|-0.90L|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
ContainerCorporationOfIndiaLtd.|Logisticssolutionprovider|1.15|161.4|1.15|0.09%|1.57%(Sep2019)|1.02%(Jul2019)|4.29L|29.00k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
EicherMotorsLtd.|Commercialvehicles|1.08|152.3|1.08|0.12%|1.09%(Oct2019)|0.69%(Jul2019)|9.20k|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
SBICardsandPaymentServicesLtd.|Nbfc|2.8|150|1.07|0.13%|1.07%(May2020)|0%(Jun2019)|2.78L|57.20k|Other|9.8|kotak-bluechip-fund-regular-plan|29-06-2020
MaxFinancialServicesLtd.|Nbfc|2.8|144.1|1.02|0.02%|1.2%(Feb2020)|0%(Jun2019)|3.00L|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
TheRamcoCementsLtd.|Cement|4.63|140.5|1.00|0.09%|1.02%(Jun2019)|0.91%(Apr2020)|2.33L|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
MothersonSumiSystemsLtd.|Autoancillaries|0.96|135.4|0.96|0.08%|1.26%(Jan2020)|0.74%(Mar2020)|14.21L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
SolarIndustriesIndiaLtd.|Explosives|0.95|133.8|0.95|0.01%|1.38%(Jun2019)|0.94%(Apr2020)|1.50L|0.00|SmallCap|3.2|kotak-bluechip-fund-regular-plan|29-06-2020
StateBankOfIndia|Banks|20.2|129|0.92|-0.16%|3.91%(Jun2019)|0.92%(May2020)|8.00L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
PfizerLtd.|Pharmaceuticals|3.51|124.4|0.88|-0.29%|1.17%(Apr2020)|0.88%(May2020)|30.81k|-2.85k|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
TataConsumerProductsLtd.|Tea&coffee|0.78|110.1|0.78|0.03%|0.78%(May2020)|0%(Jun2019)|3.00L|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
NationalThermalPowerCorporationLtd.|Power|0.78|109.6|0.78|0.02%|1.5%(Aug2019)|0.55%(Feb2020)|11.20L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
DR.LALPATHLABSLtd.|Healthcareserviceproviders|0.74|104.5|0.74|0.05%|0.74%(May2020)|0%(Jun2019)|68.15k|7.00k|SmallCap|3.2|kotak-bluechip-fund-regular-plan|29-06-2020
BharatElectronicsLtd.|Industrialelectronics|0.74|103.8|0.74|-0.03%|1.14%(Jun2019)|0.61%(Feb2020)|15.00L|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
BajajFinanceLtd.|Nbfc|2.8|99.9|0.71|-0.13%|1.36%(Feb2020)|0%(Jun2019)|51.14k|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
TataSteelLtd.|Steel|0.7|98.7|0.70|-0.01%|1.37%(Jun2019)|0.69%(Mar2020)|3.35L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
UnitedBreweriesLtd.|Brew/distilleries|0.7|98.4|0.70|0.02%|0.82%(Feb2020)|0%(Jun2019)|1.03L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
InterGlobeAviationLtd.|Airlines|0.69|96.6|0.69|-0.02%|1.29%(Aug2019)|0.69%(May2020)|1.00L|0.00|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
GujaratStatePetronetLtd.|Gastransmission/marketing|1.18|94.4|0.67|-0.03%|0.7%(Apr2020)|0%(Jun2019)|4.78L|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
PageIndustriesLtd.|Fabricsandgarments|0.67|94.3|0.67|0.02%|0.67%(May2020)|0%(Jun2019)|5.00k|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
IpcaLaboratoriesLtd.|Pharmaceuticals|3.51|82.2|0.58|-0.05%|0.65%(Mar2020)|0%(Jun2019)|55.00k|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
Dr.ReddysLaboratoriesLtd.|Pharmaceuticals|3.51|81.4|0.58|0.09%|0.58%(May2020)|0%(Jun2019)|20.00k|2.60k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
SchaefflerIndiaLtd.|Bearings|0.57|80.2|0.57|-0.04%|0.89%(Jun2019)|0.57%(May2020)|25.09k|0.00|MidCap|10.75|kotak-bluechip-fund-regular-plan|29-06-2020
GujaratGasLtd.|Gastransmission/marketing|1.18|72.2|0.51|-0.04%|0.89%(Dec2019)|0.51%(May2020)|3.00L|0.00|Other|9.8|kotak-bluechip-fund-regular-plan|29-06-2020
MahindraLifespaceDevelopersLtd.|Residential/commercial/sezproject|0.29|41.1|0.29|-0.01%|0.7%(Sep2019)|0.29%(May2020)|2.30L|0.00|SmallCap|3.2|kotak-bluechip-fund-regular-plan|29-06-2020
#HavellsIndiaLtd.|Consumerelctronics|0.26|37.2|0.26|0.26%|0.26%(May2020)|0%(Jun2019)|74.94k|74.94k|LargeCap|73.6|kotak-bluechip-fund-regular-plan|29-06-2020
#RelianceIndustriesLtd.-Rights|Refineries/marketing|10.59|29.3|0.21|0.21%|0.21%(May2020)|0%(Jun2019)|54.67k|54.67k|Other|9.8|kotak-bluechip-fund-regular-plan|29-06-2020
SupremeIndustriesLtd.|Plasticproducts|5.1|2996.5|5.10|-0.11%|5.21%(Apr2020)|3.55%(Nov2019)|29.39L|1.22L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
CoromandelInternationalLtd.|Fertilisers-phosphatic|4.37|2567.6|4.37|-0.29%|5.03%(Mar2020)|2.35%(Jun2019)|39.85L|-6.50L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
TheRamcoCementsLtd.|Cement|6.45|2315.3|3.94|0.43%|3.94%(May2020)|3.12%(Dec2019)|38.36L|79.87k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
PiIndustriesLtd.|Pesticidesandagrochemicals|3.81|2238|3.81|-0.34%|4.15%(Apr2020)|3.38%(Jan2020)|14.54L|-0.91L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
CadilaHealthcareLtd.|Pharmaceuticals|7.41|1862.8|3.17|0.28%|3.17%(May2020)|1.14%(Jun2019)|54.06L|1.25L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SchaefflerIndiaLtd.|Bearings|4.02|1731.1|2.95|-0.06%|3.64%(Mar2020)|2.89%(Jan2020)|5.41L|25.00k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SheelaFoamLtd.|Houseware|2.88|1693.8|2.88|-0.06%|2.94%(Apr2020)|1.51%(Jun2019)|12.07L|22.08k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
TataConsumerProductsLtd.|Tea&coffee|2.8|1646.2|2.80|0.13%|2.8%(May2020)|2.01%(Sep2019)|44.87L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
ThermaxLtd.|Industrialequipment|3.18|1585.7|2.70|0.01%|3.13%(Mar2020)|2.6%(Feb2020)|22.31L|38.47k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
ShreeCementLtd.|Cement|6.45|1375.9|2.34|0.13%|2.36%(Jun2019)|1.9%(Aug2019)|65.97k|0.00|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
TorrentPharmaceuticalsLtd.|Pharmaceuticals|7.41|1327.5|2.26|0.03%|2.34%(Jul2019)|1.67%(Jan2020)|5.62L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SRFLtd.|Chemicals-speciality|4.26|1267.3|2.16|-0.13%|2.68%(Jun2019)|1.88%(Oct2019)|3.63L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
AtulLtd.|Chemicals-speciality|4.26|1233.9|2.10|-0.36%|3.25%(Oct2019)|2.1%(May2020)|2.73L|-0.26L|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
PageIndustriesLtd.|Fabricsandgarments|3.63|1185.5|2.02|0.18%|2.02%(May2020)|0.27%(Aug2019)|62.84k|3.00k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
ExideIndustriesLtd.|Batteries–automobile|3.24|1164.1|1.98|0.08%|1.98%(May2020)|1.37%(Jun2019)|71.46L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
SolarIndustriesIndiaLtd.|Explosives|1.94|1140.9|1.94|0.05%|2.64%(Jun2019)|1.89%(Apr2020)|12.79L|16.96k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
KajariaCeramicsLtd.|Sanitaryware|1.89|1112.4|1.89|-0.02%|2.31%(Sep2019)|1.82%(Jun2019)|32.53L|2.38L|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
MaxFinancialServicesLtd.|Nbfc|5.14|1074.9|1.83|0.05%|1.83%(May2020)|0.23%(Jun2019)|22.38L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
CumminsIndiaLtd.|Dieselengines|1.91|990.6|1.69|0.05%|1.69%(May2020)|0%(Jun2019)|26.32L|70.21k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
ApolloHospitalsEnterprisesLtd.|Hospital|2.56|930.9|1.59|0.03%|2.16%(Jun2019)|1.35%(Dec2019)|6.86L|25.00k|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
APLApolloTubesLtd.|Steelproducts|2.9|862.9|1.47|0.10%|1.81%(Dec2019)|1.37%(Apr2020)|5.68L|0.00|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
RatnamaniMetals&TubesLtd.|Steelproducts|2.9|841.3|1.43|0.07%|1.53%(Mar2020)|1.23%(Sep2019)|9.59L|72.48k|SmallCap|23.72|kotak-emerging-equity-scheme-regular-plan|29-06-2020
AuSmallFinanceBankLtd.|Banks|6.57|836.9|1.43|-0.54%|3.43%(Feb2020)|1.43%(May2020)|21.37L|0.00|MidCap|63.54|kotak-emerging-equity-scheme-regular-plan|29-06-2020
Larsen&ToubroLtd.|Engineering,designing,construction|2.73|811.1|1.38|0.06%|1.51%(Feb2020)|0%(Jun2019)|8.70L|0.00|LargeCap|9.11|kotak-emerging-equity-scheme-regular-plan|29-06-2020
